OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:02,The participant id that was sent to you via e-mail.,en-us,SPEAKER_01,00:00,00:00 - 00:02,The participant id that was sent to you via e-mail.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:02,00:02 - 00:04,,,,00:02,00:02 - 00:04,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:04,00:04 - 00:06,The first questions of each task are used for practice.,en-us,Unknown,00:04,00:04 - 00:06,The first questions of each task are used for practice.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:06,00:06 - 00:07,,,,00:06,00:06 - 00:07,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:07,00:07 - 00:12,"During practice, the child will learn how to do the task and how to navigate the platform.",en-us,SPEAKER_01,00:07,00:07 - 00:12,"During practice, the child will learn how to do the task and how to navigate the platform.",en,Speaker 1 System,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:12,00:12 - 00:14,,,,00:12,00:12 - 00:14,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:14,00:14 - 00:41,"For each question, you will hear a sentence and pick the picture that matches the sentence. if you're not sure of the answer, just wait and the sentence will play again. as the test giver, here are some things to remember in order to ensure accurate results. you should not correct your child's answer. for example, if they point to the wrong picture, don't change their answer.",en-us,SPEAKER_01,00:14,00:14 - 00:41,"For each question, you will hear a sentence and pick the picture that matches the sentence. if you're not sure of the answer, just wait and the sentence will play again. as the test giver, here are some things to remember in order to ensure accurate results. you should not correct your child's answer. for example, if they point to the wrong picture, don't change their answer.",en,Speaker 1 System,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:41,00:41 - 00:42,,,,00:41,00:41 - 00:42,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:42,00:42 - 00:45,"If they need help, you can help your child use the computer.",en-us,Unknown,00:42,00:42 - 00:45,"If they need help, you can help your child use the computer.",en,Speaker 1 System,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:45,00:45 - 00:46,,,,00:45,00:45 - 00:46,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
