OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:09,"Now, we are going to check that you know the rules and then get started. Scroll down to begin.",en,Speaker 1 System,00:03,00:03 - 00:10,"Now, we are going to check that you know the rules and then get started. Scroll down to begin.",en,Speaker 1 System,00:03,00:00:02,0,FALSE,FALSE,FALSE
00:09,00:09 - 00:13,,,,00:10,00:10 - 00:13,"Speaker 2: Scroll down;
Speaker 3: I know I know
Speaker 1: Alright ",en,Speaker 5 Multiple Speakers,00:01,00:00:01,10,TRUE,TRUE,TRUE
00:13,00:13 - 00:17,"So if you scroll down, you'll see some questions that mom can answer before playing.",en,,00:13,00:13 - 00:17,"So if you scroll down, you'll see some questions that mom can answer before playing.",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:17,00:17 - 00:18,,,,00:17,00:17 - 00:18,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:18,00:18 - 00:22,Little bit more. There we go.,en,,00:18,00:18 - 00:22,Little bit more. There we go.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:22,00:22 - 00:30,,,,00:22,00:22 - 00:40,"Speaker3: 哎呀
Speaker 2: Is it English or Chinese",en + zh,Speaker 5 Multiple Speakers,No difference,00:00:10,8,TRUE,TRUE,TRUE
00:30,00:30 - 00:44,"Mom, is it okay to give the dog the test?",en,,00:40,00:40 - 00:44,"Mom, is it okay to give the dog the test?",en,Speaker 2 Child,00:10,00:00:10,0,FALSE,FALSE,TRUE
00:44,00:44 - 00:45,"Yeah, I think it's a good idea.",en,,00:44,00:44 - 00:45,"Yeah, I think it's a good idea.",en,Speaker 3 Parent,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:45,00:45 - 00:53,The one that says the third one from the bottom should be no. So you shouldn't repeat a question for your child if they're confused.,en,,00:45,00:45 - 00:53,The one that says the third one from the bottom should be no. So you shouldn't repeat a question for your child if they're confused.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:53,00:53 - 00:54,Okay.,en,,00:53,00:53 - 00:54,Okay.,en,Speaker 3 Parent,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:54,00:54 - 00:59,So you can choose whichever test Evelyn wants to do first.,en,,00:54,00:54 - 00:59,"Speaker 4: So you can choose whichever test Evelyn wants to do first.
Speaker 3: Easy one first
",en,Speaker 5 Multiple Speakers,No difference,00:00:00,5,TRUE,FALSE,TRUE
