OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:02,,,,00:00,00:00 - 00:02,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:02,00:02 - 00:04,"妈妈,麻烦您还是跟我们分享一下屏幕",zh,SPEAKER_01,00:02,00:02 - 00:04,"妈妈,麻烦您还是跟我们分享一下屏幕",zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:04,00:04 - 00:05,,,,00:04,00:04 - 00:06,,,,Absolute time difference:,00:00:01,Text difference word count:,FALSE,FALSE,FALSE
00:05,00:05 - 00:06,"Bom, é isso aí.",pt,SPEAKER_01,00:06,00:06 - 00:08,嗯，稍等,zh,Speaker 3 Parent,00:01,00:00:01,5,TRUE,TRUE,TRUE
00:06,00:06 - 00:10,,,,00:08,00:08 - 00:10,然后,zh,Speaker 4 Experimenter,00:02,00:00:02,2,TRUE,TRUE,TRUE
00:10,00:10 - 00:10,[blank_audio],en,SPEAKER_03,00:10,00:10 - 00:13,,,,No difference,00:00:03,0,TRUE,FALSE,FALSE
00:10,00:10 - 00:14,,,,00:13,00:13 - 00:14,好了,zh,Speaker 3 Parent,00:03,00:00:03,2,TRUE,TRUE,TRUE
00:14,00:14 - 00:18,那想请问一下您您身边有没有手机在您身边吗,zh,SPEAKER_01,00:14,00:14 - 00:18,那想请问一下您您身边有没有手机在您身边吗,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:18,00:18 - 00:19,您的手机或者,zh,SPEAKER_01,00:18,00:18 - 00:19,您的手机或者,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:19,00:19 - 00:21,,,,00:19,00:19 - 00:21,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:21,00:21 - 00:25,"好,请问您手机上有没有一个zoom app?",zh,SPEAKER_01,00:21,00:21 - 00:25,"好,请问您手机上有没有一个zoom app?",en + zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:25,00:25 - 00:26,這是,zh,SPEAKER_01,00:25,00:25 - 00:26,就是,zh,Speaker 4 Experimenter,No difference,00:00:00,0,TRUE,FALSE,TRUE
00:26,00:26 - 00:28,,,,00:26,00:26 - 00:28,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:28,00:28 - 00:32,那能不能请您用手机也加入一下我们这个实验,zh,SPEAKER_01,00:28,00:28 - 00:32,那能不能请您用手机也加入一下我们这个实验,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:32,00:32 - 00:35,然后希望您就是想用手机在,zh,SPEAKER_01,00:32,00:32 - 00:35,然后希望您就是想用手机在,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:35,00:35 - 00:40,因为我们希望在过程中还可以看到您的屏幕和您的键盘,zh,SPEAKER_01,00:35,00:35 - 00:40,因为我们希望在过程中还可以看到您的屏幕和您的键盘,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:40,00:40 - 00:42,所以如果您可以用手机也加入,zh,SPEAKER_01,00:40,00:40 - 00:42,所以如果您可以用手机也加入,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:42,00:42 - 00:45,然后放在那个电脑旁边的话,zh,SPEAKER_01,00:42,00:42 - 00:45,然后放在那个电脑旁边的话,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:45,00:45 - 00:47,我们可以也能看到屏幕和键盘,zh,SPEAKER_01,00:45,00:45 - 00:47,我们可以也能看到屏幕和键盘,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
