OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:40,,,,00:00,00:00 - 00:40,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:40,00:40 - 00:42,Can you help us change the setting?,en,SPEAKER_06,00:40,00:40 - 00:42,Can you help us change the setting?,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:42,00:42 - 00:45,Because we were not able to hear the audio.,en,SPEAKER_06,00:42,00:42 - 00:45,Because we were not able to hear the audio.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:45,00:45 - 00:47,So can you go to the top of your zoom?,en,SPEAKER_06,00:45,00:45 - 00:47,So can you go to the top of your zoom?,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:47,00:47 - 00:48,,,,00:47,00:47 - 00:48,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:48,00:48 - 00:56,"And if you go to the top of your screen, you can see a button called more. can you see that?",en,SPEAKER_06,00:48,00:48 - 00:56,"And if you go to the top of your screen, you can see a button called more. can you see that?",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:56,00:56 - 00:59,That's on the right side of the bar.,en,SPEAKER_06,00:56,00:56 - 00:59,That's on the right side of the bar.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:59,00:59 - 01:01,,,,00:59,00:59 - 01:01,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:01,01:01 - 01:02,And if you click more.,en,SPEAKER_06,01:01,01:01 - 01:02,And if you click more.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:02,01:02 - 01:03,,,,01:02,01:02 - 01:03,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:03,01:03 - 01:06,You should be able to see shared computer sound.,en,SPEAKER_06,01:03,01:03 - 01:06,You should be able to see shared computer sound.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
