OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:01,嗯我沒聽清,zh,SPEAKER_03,00:00,00:00 - 00:01,嗯我沒聽清,zh,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:01,00:01 - 00:03,,,,00:01,00:01 - 00:03,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:03,00:03 - 00:04,誰讓你去吃東西,zh,SPEAKER_03,00:03,00:03 - 00:04,誰讓你要去吃東西的,zh,Speaker 3 Parent,No difference,00:00:00,2,TRUE,FALSE,TRUE
00:04,00:04 - 00:08,,,,00:04,00:04 - 00:08,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:08,00:08 - 00:08,沒聲音了,zh,SPEAKER_03,00:08,00:08 - 00:08,沒聲音了,zh,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:08,00:08 - 00:11,,,,00:08,00:08 - 00:11,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:11,00:11 - 00:11,沒聲音了,zh,SPEAKER_03,00:11,00:11 - 00:11,沒聲音了,zh,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:11,00:11 - 00:14,,,,00:11,00:11 - 00:14,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:14,00:14 - 00:17,He said the corn is between the bottles.,en,SPEAKER_02,00:14,00:14 - 00:17,他是说 the corn is between the bottles.,en + zh,Speaker 4 Experimenter,No difference,00:00:00,5,TRUE,TRUE,TRUE
00:17,00:17 - 00:18,Between,en,SPEAKER_02,00:17,00:17 - 00:18,Between,en,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:18,00:18 - 00:18,いいなぁ,ja,SPEAKER_03,00:18,00:18 - 00:18,,,,No difference,00:00:00,0,TRUE,FALSE,FALSE
00:18,00:18 - 00:21,,,,00:18,00:18 - 00:21,那是这个,zh,Speaker 2 Child,No difference,00:00:00,4,TRUE,TRUE,TRUE
00:21,00:21 - 00:22,Thank you for making time so between.,en,SPEAKER_03,00:21,00:21 - 00:22,没听清是between,en + zh,Speaker 2 Child,No difference,00:00:00,10,TRUE,TRUE,TRUE
00:22,00:22 - 00:24,,,,00:22,00:22 - 00:24,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:24,00:24 - 00:27,The elephant is behind the fence.,en,SPEAKER_00,00:24,00:24 - 00:27,The elephant is behind the fence.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:27,00:27 - 00:28,,,,00:27,00:27 - 00:28,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:28,00:28 - 00:29,Behind.,en,SPEAKER_03,00:28,00:28 - 00:29,Behind.,en,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:29,00:29 - 00:36,,,,00:29,00:29 - 00:36,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:36,00:36 - 00:38,The flower is under at the table.,en,SPEAKER_00,00:36,00:36 - 00:38,The flower is under the table.,en,Speaker 1 System,No difference,00:00:00,1,TRUE,FALSE,TRUE
00:38,00:38 - 00:45,,,,00:38,00:38 - 00:45,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:45,00:45 - 00:47,The rabbit is next to the basket.,en,SPEAKER_00,00:45,00:45 - 00:47,The rabbit is next to the basket.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:47,00:47 - 00:56,,,,00:47,00:47 - 00:56,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:56,00:56 - 00:58,All turtles are biting a stick.,en,SPEAKER_00,00:56,00:56 - 00:58,All turtles are biting a stick.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:58,00:58 - 01:07,,,,00:58,00:58 - 01:07,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:07,01:07 - 01:09,All girls are kissing a flower.,en,SPEAKER_00,01:07,01:07 - 01:09,All girls are kissing a flower.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:09,01:09 - 01:11,,,,01:09,01:09 - 01:11,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:11,01:11 - 01:13,Kissing a flower,en,SPEAKER_03,01:11,01:11 - 01:13,Kissing a flower,en,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:13,01:13 - 01:17,,,,01:13,01:13 - 01:17,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
01:17,01:17 - 01:19,All horses are pulling a wagon.,en,SPEAKER_00,01:17,01:17 - 01:19,All horses are pulling a wagon.,en,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
01:19,01:19 - 01:27,,,,01:19,01:19 - 01:27,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
