OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:01,"She has screen, right?",en,SPEAKER_04,00:00,00:00 - 00:01,"Share screen, right?",en,Speaker 3 Parent,No difference,00:00:00,1,TRUE,FALSE,TRUE
00:01,00:01 - 00:02,"Ah, yeah.",en,SPEAKER_03,00:01,00:01 - 00:02,"Ah, yeah.",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:02,00:02 - 00:03,Okay.,en,SPEAKER_04,00:02,00:02 - 00:03,Okay.,en,Speaker 3 Parent,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:03,00:03 - 00:04,Hello.,en,SPEAKER_04,00:03,00:03 - 00:04,Hold on.,en,Speaker 3 Parent,No difference,00:00:00,1,TRUE,FALSE,TRUE
00:04,00:04 - 00:05,,,,00:04,00:04 - 00:05,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:05,00:05 - 00:07,"- okay, if you can share the screen with us,",en,SPEAKER_03,00:05,00:05 - 00:07,"- okay, if you can share the screen with us,",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:07,00:07 - 00:11,We can walk you through the questions and get started.,en,SPEAKER_03,00:07,00:07 - 00:11,We can walk you through the questions and get started.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:11,00:11 - 00:12,,,,00:11,00:11 - 00:12,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:12,00:12 - 00:14,"Okay, uh, she is coming.",en,SPEAKER_04,00:12,00:12 - 00:14,"Okay, uh, share screen.",en,Speaker 3 Parent,No difference,00:00:00,1,TRUE,FALSE,TRUE
00:14,00:14 - 00:22,,,,00:14,00:14 - 00:22,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:22,00:22 - 00:23,"Okay, thank you.",en,SPEAKER_03,00:22,00:22 - 00:23,"Okay, thank you.",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:23,00:23 - 00:26,So if you can scroll down...,en,SPEAKER_03,00:23,00:23 - 00:26,So if you can scroll down...,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:26,00:26 - 00:27,To the bottom.,en,SPEAKER_03,00:26,00:26 - 00:27,To the bottom.,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:27,00:27 - 00:28,,,,00:27,00:27 - 00:28,,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
