OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:26,,,,00:00,00:00 - 00:26,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:26,00:26 - 00:30,"Okay, so now you're going to access the full screen.",en,SPEAKER_04,00:26,00:26 - 00:30,"Okay, so now you're going to access the full screen.",en,Speaker 6 Others,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:30,00:30 - 00:32,"Okay, how do we do that?",en,SPEAKER_04,00:30,00:30 - 00:32,"Okay, how do we do that?",en,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:32,00:32 - 00:33,,,,00:32,00:32 - 00:33,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:33,00:33 - 00:36,You can click the second spot.,en,SPEAKER_02,00:33,00:33 - 00:36,You can click the second spot.,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:36,00:36 - 00:38,"Yeah, that's fine.",en,SPEAKER_02,00:36,00:36 - 00:38,"Yeah, that's fine.",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:38,00:38 - 00:39,Ok,chinese,SPEAKER_02,00:38,00:38 - 00:39,Ok,en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,TRUE,TRUE
00:39,00:39 - 00:41,"Um, so we now.",en,SPEAKER_02,00:39,00:39 - 00:41,"speaker 4: Um, so we
speaker 2: now",en,Speaker 5 Multiple Speakers,No difference,00:00:00,2,TRUE,FALSE,TRUE
00:41,00:41 - 00:47,"So, claire, you were able to hear the audio played by the video, right?",en,SPEAKER_02,00:41,00:41 - 00:47,"So, claire, you were able to hear the audio played by the video, right?",en,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:47,00:47 - 00:48,,,,00:47,00:47 - 00:48,Yes,en,Speaker 2 Child,No difference,00:00:00,1,TRUE,TRUE,TRUE
