OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
00:00,00:00 - 00:07,"作为测试监督者,我们希望您记住一些注意事项,以保证结果的准确性。",zh,SPEAKER_04,00:00,00:00 - 00:07,"作为测试监督者,我们希望您记住一些注意事项,以保证结果的准确性。",zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:07,00:07 - 00:08,,,,00:07,00:07 - 00:08,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:08,00:08 - 00:11,请不要更正您孩子的答案,zh,SPEAKER_04,00:08,00:08 - 00:11,请不要更正您孩子的答案,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:11,00:11 - 00:12,,,,00:11,00:11 - 00:12,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:12,00:12 - 00:17,"例如,如果您的孩子指向錯誤的圖片,請不要更正他的選擇。",zh,SPEAKER_04,00:12,00:12 - 00:17,"例如,如果您的孩子指向錯誤的圖片,請不要更正他的選擇。",zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:17,00:17 - 00:18,,,,00:17,00:17 - 00:18,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:18,00:18 - 00:22,如果您的孩子在操作电脑时需要帮助,zh,SPEAKER_04,00:18,00:18 - 00:22,如果您的孩子在操作电脑时需要帮助,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:22,00:22 - 00:23,请帮助他操作,zh,SPEAKER_04,00:22,00:22 - 00:23,请帮助他操作,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:23,00:23 - 00:25,,,,00:23,00:23 - 00:25,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:25,00:25 - 00:30,"例如,如果他们在点击操作中遇到困难,你可以帮助他们点击",zh,SPEAKER_04,00:25,00:25 - 00:30,"例如,如果他们在点击操作中遇到困难,你可以帮助他们点击",zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:30,00:30 - 00:31,,,,00:30,00:30 - 00:31,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:31,00:31 - 00:34,请不要重复测试中播放的音频,zh,SPEAKER_04,00:31,00:31 - 00:34,请不要重复测试中播放的音频,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:34,00:34 - 00:35,,,,00:34,00:34 - 00:35,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:35,00:35 - 00:42,"例如,如果您的孩子不知道答案,请不要重复问题或问题中的某些词语。",zh,SPEAKER_04,00:35,00:35 - 00:42,"例如,如果您的孩子不知道答案,请不要重复问题或问题中的某些词语。",zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:42,00:42 - 00:46,请不要告诉您的孩子他的选择是否正确,zh,SPEAKER_04,00:42,00:42 - 00:46,请不要告诉您的孩子他的选择是否正确,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:46,00:46 - 00:47,,,,00:46,00:46 - 00:47,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:47,00:47 - 00:52,"例如,请不要在您的孩子完成选择后点头或者摇头",zh,SPEAKER_04,00:47,00:47 - 00:52,"例如,请不要在您的孩子完成选择后点头或者摇头",zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
00:52,00:52 - 00:53,,,,00:52,00:52 - 00:53,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
00:53,00:53 - 00:55,每隔三至五道题后,zh,SPEAKER_04,00:53,00:53 - 00:55,每隔三至五道题后,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
